"Беспокойная мама, или Приключения храброго поросёнка",978-5-17-116102-6,32,04 х 265 x 10 мм,0.355,"""В лесу ужасно страшно! - сказала мама-свинка. - Там скрываются чудовища. А ещё там можно утонуть в бурлящем ручье! Или заблудиться…"" Девять маленький поросят испуганно нахмурились и закрыли маленькими розовыми ушками глаза от страха. И только десятый поросёнок оживился и захохотал. В лесу ждут приключения? Тогда нужно срочно туда отправиться! И маленький бунтарь потихоньку уходит, чтобы доказать себе и всем вокруг - в лесу не так уж и страшно!Гунди Хергет после обучения в Мюнхенском, а затем и в Пизанском университетах начала работать редактором, занимаясь такими направлениями, как бизнес, развлеченияи путешествия. В 2009 году у неё появился сын, а спустя совсем немного времени Гунди Хергет поняла, что просто обожает детскую литературу. Она начала писать сама, и вот в 2014 году её книга уже была номинирована на Oldenburger Kinderund Jugendbuchpreis.""Приключения храброго поросёнка "" - история про победу любопытства над страхами."
Как лодка подводной стала?,978-5-17-096784-1,48,62 х 210 x 4 мм,0.099,"Каждый из нас хотя бы раз видел настоящую моторную лодку или вёсельную шлюпку, парусную яхту или теплоход. Тем, кто живёт около больших рек или на морском берегу, это не в диковинку. А видел ли кто-нибудь ""живьём"" подводную лодку? Таких счастливчиков наберётся немного. Книга Андрея Богдарина ""Как лодка подводной стала?"" познакомит вас с самыми разными подводными лодками, расскажет, как они устроены, как ""видят"" и ""слышат"" под водой, какие субмарины строили при Петре I, что такое батискаф и как выглядел первый акваланг. Будет интересно!"
Как полететь в космос?,978-5-17-116794-3,48,61 х 210 x 4 мм,0.101,"Книга Александра Монвиж-Монтвида ""Как полететь в космос?"" познакомит читателей с историей космонавтики, расскажет, когда начали конструировать первые ракеты и спутники, как велась подготовка космонавтов к полёту, какие животные помогали людям в изучении космоса. Почему ракеты делают многоступенчатыми? Волновался ли Юрий Гагарин перед полётом? Что происходит с различными предметами в невесомости? На эти и многие другие вопросы ты найдёшь ответы в этой книге.Для младшего школьного возраста."
Как устроен человек?,978-5-17-115475-2,48,61 х 210 x 5 мм,0.095,"                                                                                            Увлекательный рассказ об анатомии человека для младших школьников! Как отдыхает сердце? Что такое давление и как измерить пульс? Какие кости составляют скелет и что такое нервная система? Эта книга расширит кругозор ребёнка и даст научно обоснованные ответы на все детские вопросы, на которые порой затрудняются ответить и взрослые! Автор книги – врач В. Иванова – ведет с читателем непринужденную беседу на равных, объясняя сложные понятия простым языком.                                                                                    "
Как устроено моё тело?,978-5-17-119196-2,32,62 х 210 x 3 мм,0.085,"Как устроены глаза и уши? Сколько костей в скелете человека? Правда ли, что кожа, кровь и органы тела состоят из крошечных частичек – клеток? Страницы этой книги отправят читателя в самое удивительное, увлекательное и познавательное путешествие по необычайно богатому ""внутреннему миру"" человека. Вы узнаете, за что отвечает мозг человека, как мы чувствуем вкус и запах, почему важно спать не менее 7 часов в сутки и многое-многое другое.Для младшего школьного возраста."
