"100 коротких сказок для самых маленьких
";"Хотите познакомить малыша с удивительным миром сказок? Откройте вместе с ребенком эту книгу, где он впервые встретится с русскими народными сказками и с произведениями замечательных русских писателей - К. Ушинского, В.Даля, С. Козлова, Г. Цыферова, М. Пляцковского и многих других. А еще он сможет заглянуть в чудесную страну, где его ждет знакомство с героями сказок Шарля Перро, братьев Гримм, Ханса Кристиана Андерсена и русских волшебных сказок. Тексты сказок специально подобраны таким образом, чтобы их было интересно слушать и легко понимать даже самым маленьким детям.
"

"6-7 лет. Изучаем время (Рабочая Тетрадь)";"ШКОЛА ДЛЯ ДОШКОЛЯТ - серия книг для подготовки детей к школе. В серию входят рабочие тетради, тесты, прописи и тренажеры, специально созданные для детей 6-7 лет. Авторы книг - квалифицированные педагоги и психологи
Дополнительно Вы можете 

скачать бесплатно Методические рекомендации к учебно-методическому комплекту - Школа для дошколят"

"6-7 лет. Математика. Учебное пособие
";"
Школа для дошколят - серия книг для подготовки детей к школе. В серию входят рабочие тетради, тесты, прописи и тренажеры, специально созданные для детей 6-7 лет. Авторы книг - квалифицированные педагоги и психологи.
Дополнительно Вы можете 

скачать бесплатно Методические рекомендации к учебно-методическому комплекту - Школа для дошколят"

"6-7 лет. Мир вокруг (Рабочая Тетрадь)
";"Школа для дошколят - серия книг для комплексной подготовки детей к школе. В серию входят рабочие тетради, тесты, прописи и тренажеры, специально созданные для детей 6-7 лет. Авторы книг - эксперты в области дошкольного образования, квалифицированные педагоги и психологи.
"

"6-7-let-obuchaemsya-gramote-rab-tetrad
";"
Рабочая тетрадь в доступной, игровой форме познакомит детей, поступающих в школу, с алфавитом и азами грамоты. Книгу можно использовать как на групповых занятиях в детских садах и в начальной школе, так и для индивидуальной работы с детьми.
Дополнительно Вы можете 

скачать бесплатно Методические рекомендации к учебно-методическому комплекту - Школа для дошколят
"

